start_time,end_time,lyric,vocal1,vocal2,duration,song_name,song_year
"00:02:51,739","00:02:54,430",sok maeum deulkil kkabwa geobina,Jihyo,,2.691,CheerUp,2016
"00:02:51,780","00:02:56,020",ibeonen jeongmal kkokkok naega meonjeo Talk talk,Jihyo,,4.24,TT,2016
"00:02:54,430","00:02:57,202",jigeumcheoreom jogeumman deo dagawa,Jihyo,,2.772,CheerUp,2016
"00:02:56,080","00:03:00,700",dajim ppunin geol maebeon dajim ppunin geol,Jihyo,,4.62,TT,2016
"00:02:57,202","00:02:59,004",geuri orae geollijin ana,Jihyo,,1.802,CheerUp,2016
"00:02:59,004","00:03:01,008",Just get it together and then baby ,Jihyo,,2.004,CheerUp,2016
"00:03:00,720","00:03:03,700",imi nan da keottago saenggakaneunde,Mina,Nayeon,2.98,TT,2016
"00:03:01,008","00:03:01,727",CHEER UP,Jihyo,,0.719,CheerUp,2016
"00:03:04,320","00:03:06,100",eojjeomyeon nae maminde wae,Mina,,1.78,TT,2016
"00:03:06,100","00:03:09,240",nae mamdaero hal su eomneun geonde,Mina,Nayeon,3.14,TT,2016
"00:03:09,440","00:03:12,220",mireonaeryeogo hamyeon halsurok,Jeongyeon,Jihyo,2.78,TT,2016
"00:03:12,220","00:03:15,900",jakku kkeullyeo wae jakku jakku kkeullyeo Baby,Jeongyeon,,3.68,TT,2016
"00:03:12,931","00:03:14,198",CHEER UP BABY,Jeongyeon,Jihyo,1.267,CheerUp,2016
"00:03:14,198","00:03:15,616",CHEER UP BABY,Jeongyeon,Jihyo,1.418,CheerUp,2016
"00:03:15,616","00:03:17,932",Give it a little more,Jeongyeon,Jihyo,2.316,CheerUp,2016
"00:03:17,932","00:03:20,672", yeojaga shwipge mameul jumyeon andwae,Jihyo,,2.74,CheerUp,2016
"00:03:19,420","00:03:22,920",ireon nae mam moreugo neomuhae neomuhae,Dahyun,Jihyo,3.5,TT,2016
"00:03:20,672","00:03:23,959", geuraeya niga nal deo joahage dwelkkeol,Jihyo,,3.287,CheerUp,2016
"00:03:23,959","00:03:28,942",taeyeonhage yeongihallae amureochi anke,Nayeon,Mina,4.983,CheerUp,2016
"00:03:27,180","00:03:30,500",Tell me that you’d be my baby,Jihyo,,3.32,TT,2016
"00:03:28,942","00:03:31,841", naega neol joahaneun mam moreuge,Nayeon,Jihyo,2.899,CheerUp,2016
"00:03:31,841","00:03:34,350",just get it together and then baby,Nayeon,Jihyo,2.509,CheerUp,2016
"00:03:34,350","00:03:35,613",CHEER UP,Nayeon,,1.263,CheerUp,2016
"00:00:00,660","00:00:02,220",Trying to let you know,Dahyun,,1.56,Signal,2017
"00:00:02,560","00:00:04,980",Sign-eul bonae Signal bonae,Dahyun,,2.42,Signal,2017
"00:00:04,220","00:00:07,300",Come and be my love Come and be my love baby,Chaeyoung,,3.08,HeartShaker,2017
"00:00:05,240","00:00:06,900",I must let you know,Chaeyoung,,1.66,Signal,2017
"00:00:07,200","00:00:09,553",Sign-eul bonae Signal bonae,Chaeyoung,,2.353,Signal,2017
"00:00:09,553","00:00:10,600",Sign-eul bonae,Dahyun,,1.047,Signal,2017
"00:00:09,780","00:00:13,040",Come and be my love Come and be my love baby,Dahyun,,3.26,HeartShaker,2017
"00:00:10,600","00:00:11,547",Signal bonae,Chaeyoung,,0.947,Signal,2017
"00:00:11,547","00:00:12,835",Sign-eul bonae,Dahyun,,1.288,Signal,2017
"00:00:12,835","00:00:14,000",Signal bonae,Chaeyoung,,1.165,Signal,2017
"00:00:12,960","00:00:17,000",seollenda heart Me likey Me likey likey likey,Sana,,4.04,Likey,2017
"00:00:13,160","00:00:16,040",meonghani seoseo mak gomingomin hae,Nayeon,,2.88,HeartShaker,2017
"00:00:14,000","00:00:15,059",Sign-eul bonae,Dahyun,,1.059,Signal,2017
"00:00:14,410","00:00:16,170",yeoldushiga dwemyeon dacheoyo,Nayeon,,1.76,KnockKnock,2017
"00:00:15,059","00:00:16,200",Signal bonae,Chaeyoung,,1.141,Signal,2017
"00:00:16,140","00:00:19,220", na igeo jinjja jalhaneun jishinji,Nayeon,,3.08,HeartShaker,2017
"00:00:16,170","00:00:17,894",jogeumman seodulleo jullaeyo,Nayeon,,1.724,KnockKnock,2017
"00:00:16,540","00:00:18,117",I must let you know,Dahyun,Chaeyoung,1.577,Signal,2017
"00:00:17,620","00:00:19,620",Me likey likey likey,Sana,,2.0,Likey,2017
"00:00:17,894","00:00:21,655","Knock knock knock knock, knock on my door",Chaeyoung,Jeongyeon,3.761,KnockKnock,2017
"00:00:18,740","00:00:22,500",Sign-eul bonae Signal bonae geunde jeonhyeo an tonghae,Momo,,3.76,Signal,2017
"00:00:19,320","00:00:21,320",yeah yeah yeah yeah,Jeongyeon,,2.0,HeartShaker,2017
"00:00:19,620","00:00:20,880",dugeun dugeun dugeun,Dahyun,,1.26,Likey,2017
"00:00:21,340","00:00:21,840",mweo eottae,Tzuyu,,0.5,HeartShaker,2017
"00:00:21,655","00:00:23,333",bami dwemyeon nae mamsoge,Dahyun,,1.678,KnockKnock,2017
"00:00:21,920","00:00:23,560",No no no no,Momo,,1.64,HeartShaker,2017
"00:00:22,040","00:00:24,460",Me Likey Me Likey Likey Likey,Jihyo,,2.42,Likey,2017
"00:00:23,333","00:00:25,500",churipmuni yeollijo,Dahyun,,2.167,KnockKnock,2017
"00:00:23,460","00:00:27,060",nunbicheul bonae nunchireul june geunde mot aradeunne,Mina,,3.6,Signal,2017
"00:00:23,640","00:00:24,140",micheosseo,Mina,,0.5,HeartShaker,2017
"00:00:24,180","00:00:25,620",nan jjeuwirago hae,Tzuyu,,1.44,HeartShaker,2017
"00:00:24,620","00:00:25,780",Me Likey Likey Likey,Jihyo,,1.16,Likey,2017
"00:00:25,500","00:00:29,160",nugunga piryohae someone else!,Sana,,3.66,KnockKnock,2017
"00:00:25,700","00:00:27,380",mujakjeong insahalkka,Mina,,1.68,HeartShaker,2017
"00:00:25,880","00:00:27,180",dugeun dugeun dugeun,Chaeyoung,,1.3,Likey,2017
"00:00:27,380","00:00:29,520",jakku deureonaego shipji jakkuman,Nayeon,,2.14,Likey,2017
"00:00:27,440","00:00:28,540",nae jeonhwabeonhoya,Sana,,1.1,HeartShaker,2017
"00:00:28,120","00:00:30,840",dapdapaeseo michigetta jeongmal,Momo,,2.72,Signal,2017
"00:00:28,580","00:00:30,580",jjokjil jugo domangchilkka,Mina,,2.0,HeartShaker,2017
"00:00:29,160","00:00:30,750",jakkujakku seoseongine,Jihyo,,1.59,KnockKnock,2017
"00:00:30,020","00:00:34,940",sasohan geot hanakkaji jeonbuda,Nayeon,,4.92,Likey,2017
"00:00:30,640","00:00:32,640",yeah yeah yeah yeah,Jeongyeon,,2.0,HeartShaker,2017
"00:00:30,750","00:00:32,634",mollae mollae humcheobone,Jihyo,,1.884,KnockKnock,2017
"00:00:31,080","00:00:33,080",wae geureonji moreugetta jeongmal,Mina,,2.0,Signal,2017
"00:00:32,634","00:00:36,480","Knock knock knock knock, knock on my door",Chaeyoung,Jeongyeon,3.846,KnockKnock,2017
"00:00:32,700","00:00:33,240",eotteokae,Sana,,0.54,HeartShaker,2017
"00:00:33,320","00:00:34,840",dashi han beon himeul naeseo,Momo,,1.52,Signal,2017
"00:00:33,340","00:00:35,260",No no no no,Momo,,1.92,HeartShaker,2017
"00:00:35,060","00:00:37,260",Sign-eul bonae Signal bonae,Momo,Mina,2.2,Signal,2017
"00:00:35,200","00:00:37,200",jageun hwamyeon soge naega ,Jihyo,,2.0,Likey,2017
"00:00:35,340","00:00:36,700",jigeumiya,Tzuyu,,1.36,HeartShaker,2017
"00:00:36,480","00:00:38,390",bonamana tto Playboy,Momo,,1.91,KnockKnock,2017
"00:00:36,800","00:00:37,940",Girl you can do it,Chaeyoung,,1.14,HeartShaker,2017
"00:00:37,200","00:00:38,600",jeil yeppeo boigopa,Jihyo,,1.4,Likey,2017
"00:00:37,500","00:00:41,560",nunjitdo sonjitdo eotteon pyojeongdo,Jeongyeon,,4.06,Signal,2017
"00:00:38,020","00:00:39,680",nuni majuchigo itjana,Tzuyu,,1.66,HeartShaker,2017
"00:00:38,390","00:00:39,999",tteobonamana Bad boy,Momo,,1.609,KnockKnock,2017
"00:00:39,500","00:00:41,940",ajigeun gamchweo ireon nae maeum kkukkuk,Jihyo,,2.44,Likey,2017
"00:00:39,720","00:00:40,820",Love is timing,Dahyun,,1.1,HeartShaker,2017
"00:00:39,999","00:00:42,239",hwakshini piryohae,Mina,,2.24,KnockKnock,2017
"00:00:40,880","00:00:42,460",notchimyeon huhwehaljji molla,Mina,,1.58,HeartShaker,2017
"00:00:41,720","00:00:46,040",soyongi eomne hanado an tonghae,Jeongyeon,,4.32,Signal,2017
"00:00:42,239","00:00:43,739",knock knock,Sana,,1.5,KnockKnock,2017
"00:00:42,260","00:00:46,280",meot burindaneun geon jeongmal gwichaneun geo,Jeongyeon,,4.02,Likey,2017
"00:00:42,540","00:00:44,940",love is coming coming jomman deo yonggireul nae,Dahyun,Chaeyoung,2.4,HeartShaker,2017
"00:00:43,739","00:00:46,769",nae mami yeollige dudeuryeojweo,Nayeon,Sana,3.03,KnockKnock,2017
"00:00:45,060","00:00:47,060",deoneun mangseoriji ma,Jihyo,,2.0,HeartShaker,2017
"00:00:46,560","00:00:49,840",geureotago jeolttae daechunghal suga eomneungeol,Jeongyeon,,3.28,Likey,2017
"00:00:46,580","00:00:50,260",nunchido kochido jeonhyeo eomna bwa,Chaeyoung,,3.68,Signal,2017
"00:00:46,769","00:00:50,579",sege kung kung dashi hanbeon kung kung,Nayeon,Sana,3.81,KnockKnock,2017
"00:00:47,200","00:00:53,240",isanghage saenggakaedo  eojjeol su eopseo banhaesseunikka,Nayeon,,6.04,HeartShaker,2017
"00:00:50,100","00:00:52,100",maeil gaseum ttwige hae,Tzuyu,,2.0,Likey,2017
"00:00:50,579","00:00:52,850","Baby, knock knock knock knock, knock on my door",Mina,Tzuyu,2.271,KnockKnock,2017
"00:00:50,840","00:00:55,240",deo isang eotteoke nae mameul pyohyeonhae,Chaeyoung,,4.4,Signal,2017
"00:00:52,240","00:00:54,620", igeon niga mollayaman dwae,Tzuyu,,2.38,Likey,2017
"00:00:52,850","00:00:54,230",Knock knock knock knock knock,Mina,Tzuyu,1.38,KnockKnock,2017
"00:00:53,320","00:00:55,320","You’re my heart shaker, shaker",Tzuyu,,2.0,HeartShaker,2017
"00:00:54,230","00:00:58,685",swipge yeollijineun aneul geoya,Nayeon,,4.455,KnockKnock,2017
"00:00:55,240","00:00:57,240",geureomyeonseo ppeonppeonhage,Nayeon,,2.0,Likey,2017
"00:00:55,380","00:01:02,640",eonjebuteonga nan niga joa jigi shijakaesseo baboya,Jihyo,,7.26,Signal,2017
"00:00:55,420","00:00:56,520",notchigi shireo,Sana,,1.1,HeartShaker,2017
"00:00:56,560","00:00:57,940","You’re my heart shaker, shaker",Tzuyu,,1.38,HeartShaker,2017
"00:00:57,240","00:00:59,460",BBkeurim papapa,Momo,,2.22,Likey,2017
"00:00:58,000","00:00:58,660",eotteokae,Momo,,0.66,HeartShaker,2017
"00:00:58,685","00:01:01,646",naeildo moredo dashi wajweo,Jihyo,,2.961,KnockKnock,2017
"00:00:58,760","00:01:04,920",babocheoreom an gidaryeo  naega malhallae banhaebeoryeottago,Nayeon,,6.16,HeartShaker,2017
"00:00:59,520","00:01:00,920", ripseutigeul mammamma,Momo,,1.4,Likey,2017
"00:01:01,200","00:01:03,780", kamerae damabolkka yeppeuge,Momo,,2.58,Likey,2017
"00:01:01,646","00:01:05,426",junbihago gidarilkke,Jihyo,,3.78,KnockKnock,2017
"00:01:02,640","00:01:04,840",wae ireokedo nae mameul molla,Jihyo,,2.2,Signal,2017
"00:01:04,200","00:01:05,520",igeo bomyeon useo jweo,Tzuyu,,1.32,Likey,2017
"00:01:05,000","00:01:08,920",niga mame deundago  haru jongil bogo shipdago,Jihyo,,3.92,HeartShaker,2017
"00:01:05,160","00:01:10,720",eonjekkaji ireoke dunhage nareul chinguroman daehallae,Nayeon,,5.56,Signal,2017
"00:01:05,426","00:01:07,837","Baby, knock knock knock knock, knock on my door",Momo,Sana,2.411,KnockKnock,2017
"00:01:06,080","00:01:07,640", geurigo kkok,Tzuyu,,1.56,Likey,2017
"00:01:07,640","00:01:08,820", nulleo jweo,Tzuyu,,1.18,Likey,2017
"00:01:07,837","00:01:09,180",Knock knock knock knock knock,Momo,Sana,1.343,KnockKnock,2017
"00:01:08,820","00:01:12,400", jeo mite angjeungmatgo saeppalgan,Tzuyu,,3.58,Likey,2017
"00:01:08,940","00:01:11,680", Would you be my love,Jihyo,,2.74,HeartShaker,2017
"00:01:09,180","00:01:12,213",deureodo gyesok deutgo shipeun geol,Jihyo,,3.033,KnockKnock,2017
"00:01:11,000","00:01:14,160",naega weonhaneun geon geuge aninde,Nayeon,,3.16,Signal,2017
"00:01:11,780","00:01:13,440",banhaebeoryeosseunikka,Sana,,1.66,HeartShaker,2017
"00:01:12,213","00:01:14,900",Knock on my door,Jihyo,,2.687,KnockKnock,2017
"00:01:12,640","00:01:14,740",geunde joayoran mareun ppeonhae,Mina,,2.1,Likey,2017
"00:01:14,200","00:01:16,400",Signal bonae Signal bonae,Tzuyu,,2.2,Signal,2017
"00:01:14,900","00:01:16,833",piryo eopseo Gold key or get lucky,Chaeyoung,,1.933,KnockKnock,2017
"00:01:15,000","00:01:19,100", nae mam pyohyeonhagien bujokande,Mina,,4.1,Likey,2017
"00:01:15,760","00:01:18,960",pyojeonggwalli hae eosaekaji anke,Jeongyeon,,3.2,HeartShaker,2017
"00:01:16,400","00:01:18,620","Jjirit, jjirit, jjirit, jjirit",Tzuyu,,2.22,Signal,2017
